Area,Age,Persons,Males,Females,Current Age,Age Group
District - Bangalore (18),0,140747,72042,68705,10,000-009
District - Bangalore (18),1,184020,94526,89494,11,000-009
District - Bangalore (18),2,143995,73720,70275,12,000-009
District - Bangalore (18),3,145642,74982,70660,13,000-009
District - Bangalore (18),4,141231,72861,68370,14,000-009
District - Bangalore (18),5,151946,78448,73498,15,000-009
District - Bangalore (18),6,145256,75077,70179,16,000-009
District - Bangalore (18),7,146536,75358,71178,17,000-009
District - Bangalore (18),8,140878,72125,68753,18,000-009
District - Bangalore (18),9,138036,70772,67264,19,000-009
District - Bangalore (18),10,162392,84079,78313,20,010-019
District - Bangalore (18),11,148952,76670,72282,21,010-019
District - Bangalore (18),12,142767,73279,69488,22,010-019
District - Bangalore (18),13,137942,70881,67061,23,010-019
District - Bangalore (18),14,136583,70513,66070,24,010-019
District - Bangalore (18),15,137473,71460,66013,25,010-019
District - Bangalore (18),16,135385,69919,65466,26,010-019
District - Bangalore (18),17,141146,72157,68989,27,010-019
District - Bangalore (18),18,180634,93080,87554,28,010-019
District - Bangalore (18),19,180361,92786,87575,29,010-019
District - Bangalore (18),20,227862,116705,111157,30,020-029
District - Bangalore (18),21,198514,104149,94365,31,020-029
District - Bangalore (18),22,222200,115515,106685,32,020-029
District - Bangalore (18),23,213114,111830,101284,33,020-029
District - Bangalore (18),24,233240,119656,113584,34,020-029
District - Bangalore (18),25,280312,140368,139944,35,020-029
District - Bangalore (18),26,242916,124276,118640,36,020-029
District - Bangalore (18),27,222464,115679,106785,37,020-029
District - Bangalore (18),28,246799,126678,120121,38,020-029
District - Bangalore (18),29,206323,108683,97640,39,020-029
District - Bangalore (18),30,289926,153195,136731,40,030-039
District - Bangalore (18),31,179099,98523,80576,41,030-039
District - Bangalore (18),32,178706,97083,81623,42,030-039
District - Bangalore (18),33,141830,78024,63806,43,030-039
District - Bangalore (18),34,165673,90526,75147,44,030-039
District - Bangalore (18),35,249349,132852,116497,45,030-039
District - Bangalore (18),36,161034,86128,74906,46,030-039
District - Bangalore (18),37,131270,70643,60627,47,030-039
District - Bangalore (18),38,157851,83049,74802,48,030-039
District - Bangalore (18),39,130926,71323,59603,49,030-039
District - Bangalore (18),40,210025,114876,95149,50,040-049
District - Bangalore (18),41,111797,62717,49080,51,040-049
District - Bangalore (18),42,105419,58863,46556,52,040-049
District - Bangalore (18),43,81756,44200,37556,53,040-049
District - Bangalore (18),44,93929,50173,43756,54,040-049
District - Bangalore (18),45,172040,90414,81626,55,040-049
District - Bangalore (18),46,96719,51327,45392,56,040-049
District - Bangalore (18),47,77360,41608,35752,57,040-049
District - Bangalore (18),48,92387,48745,43642,58,040-049
District - Bangalore (18),49,82479,44002,38477,59,040-049
District - Bangalore (18),50,142968,72960,70008,60,050-059
District - Bangalore (18),51,70760,38099,32661,61,050-059
District - Bangalore (18),52,61515,33139,28376,62,050-059
District - Bangalore (18),53,50604,27256,23348,63,050-059
District - Bangalore (18),54,63724,32538,31186,64,050-059
District - Bangalore (18),55,101855,50000,51855,65,050-059
District - Bangalore (18),56,60817,31778,29039,66,050-059
District - Bangalore (18),57,44880,23686,21194,67,050-059
District - Bangalore (18),58,52498,27476,25022,68,050-059
District - Bangalore (18),59,51996,26505,25491,69,050-059
District - Bangalore (18),60,104021,49645,54376,70,060-069
District - Bangalore (18),61,49654,26053,23601,71,060-069
District - Bangalore (18),62,40822,21816,19006,72,060-069
District - Bangalore (18),63,37253,20629,16624,73,060-069
District - Bangalore (18),64,39342,20420,18922,74,060-069
District - Bangalore (18),65,68625,32184,36441,75,060-069
District - Bangalore (18),66,32822,16869,15953,76,060-069
District - Bangalore (18),67,23737,13128,10609,77,060-069
District - Bangalore (18),68,27332,14617,12715,78,060-069
District - Bangalore (18),69,26246,13788,12458,79,060-069
District - Bangalore (18),70,53206,25646,27560,80,070-079
District - Bangalore (18),71,22253,11714,10539,81,070-079
District - Bangalore (18),72,16138,9115,7023,82,070-079
District - Bangalore (18),73,12773,7200,5573,83,070-079
District - Bangalore (18),74,15416,8322,7094,84,070-079
District - Bangalore (18),75,26697,12975,13722,85,070-079
District - Bangalore (18),76,13160,6924,6236,86,070-079
District - Bangalore (18),77,8244,4570,3674,87,070-079
District - Bangalore (18),78,8975,4808,4167,88,070-079
District - Bangalore (18),79,9096,4443,4653,89,070-079
District - Bangalore (18),80,19497,8399,11098,90,080-089
District - Bangalore (18),81,8349,4028,4321,91,080-089
District - Bangalore (18),82,5741,3036,2705,92,080-089
District - Bangalore (18),83,4556,2425,2131,93,080-089
District - Bangalore (18),84,5376,2670,2706,94,080-089
District - Bangalore (18),85,9060,3922,5138,95,080-089
District - Bangalore (18),86,4581,2131,2450,96,080-089
District - Bangalore (18),87,2906,1470,1436,97,080-089
District - Bangalore (18),88,2849,1466,1383,98,080-089
District - Bangalore (18),89,2651,1247,1404,99,080-089
District - Bangalore (18),90,5544,2434,3110,100,090-099
District - Bangalore (18),91,2168,1001,1167,101,090-099
District - Bangalore (18),92,1396,745,651,102,090-099
District - Bangalore (18),93,1027,571,456,103,090-099
District - Bangalore (18),94,1153,578,575,104,090-099
District - Bangalore (18),95,1844,849,995,105,090-099
District - Bangalore (18),96,1046,512,534,106,090-099
District - Bangalore (18),97,749,392,357,107,090-099
District - Bangalore (18),98,844,441,403,108,090-099
District - Bangalore (18),99,466,218,248,109,090-099
